MATTHEW CARCARY ,Wall Time : , 23:40:26 , Coast Time : , 08:38:05
GRAHAM COOPER ,Wall Time : , 22:47:20 , Coast Time : , 08:38:34
RACHEL FLENTJE ,Wall Time : , 22:47:20 , Coast Time : , 08:39:41
MICHAEL CLEGG ,Wall Time : , 16:04:38 , Coast Time : , 08:39:59
ANDREW CURRAN ,Wall Time : , 23:23:18 , Coast Time : , 08:40:50
JORDAN REYNAUD ,Wall Time : , 23:23:18 , Coast Time : , 08:44:12
JAMES HANNANT ,Wall Time : , 16:41:14 , Coast Time : , 08:53:16
GREG FULTON ,Wall Time : , 20:36:27 , Coast Time : , 08:53:52
SAMANTHA DAVENWARD ,Wall Time : , 20:44:32 , Coast Time : , 08:55:17
JONATHAN TRAYNOR ,Wall Time : , 20:43:34 , Coast Time : , 08:56:55
DAVID MURRAY ,Wall Time : , 18:02:35 , Coast Time : , 09:14:38
PAUL BEDDOWS ,Wall Time : , 21:04:57 , Coast Time : , 09:23:47
PETER REDWOOD-SMITH ,Wall Time : , 25:56:42 , Coast Time : , 09:37:40
ELAINE CROSTHWAITE ,Wall Time : , 23:40:26 , Coast Time : , 09:49:32
JANE WILKES ,Wall Time : , 20:19:52 , Coast Time : , 09:56:03
SAM FINNEY ,Wall Time : , 17:28:26 , Coast Time : , 
CHRISTOPHER MALES ,Wall Time : , 16:21:55 , Coast Time : , 
DARREN MORRIS ,Wall Time : , 23:03:17 , Coast Time : , 
MICHAEL RICHARDSON ,Wall Time : , 20:08:40 , Coast Time : , 
NICK WOOD ,Wall Time : , 21:24:47 , Coast Time : , 
